rounds_played,total_chips_won,total_chips_lost,total_wins,total_losses,showdown_reached,showdown_wins,total_folds,total_calls,total_raises,total_checks,estimated_winrate,winning_hand_type,losing_hand_type,preflop_fold,preflop_call,preflop_raise,preflop_check,flop_fold,flop_call,flop_raise,flop_bet,flop_check,turn_fold,turn_call,turn_raise,turn_bet,turn_check,river_fold,river_call,river_raise,river_bet,river_check
1,250,0,1,0,1,1,0,2,2,11,0.0,Two Pair,,56.48,0,1,1,2,0,0,0,0,2,0,1,1,0,2,0,0,0,0,2
1,0,600,0,1,1,0,0,6,6,10,0.0,,Two Pair,34.34,0,3,3,2,0,1,1,0,2,0,0,0,0,2,0,1,1,0,2
1,0,400,0,1,0,0,1,4,4,4,0.0,,High Card,75.16,0,0,0,2,0,4,4,0,2,1,0,0,0,0,0,0,0,0,0
1,100,0,1,0,1,1,0,1,1,10,0.0,One Pair,,82.37,0,0,0,2,0,0,0,0,2,0,1,1,0,2,0,0,0,0,2
1,0,750,0,1,0,0,1,2,5,7,0.0,,Two Pair,38.34,0,1,3,2,0,0,0,0,2,0,1,1,0,2,1,0,1,0,1
